a	b	bloco	resp
1	1	1	42.9
1	1	2	41.6
1	1	3	28.9
1	1	4	30.8
1	2	1	53.8
1	2	2	58.5
1	2	3	43.9
1	2	4	46.3
1	3	1	49.5
1	3	2	53.8
1	3	3	40.7
1	3	4	39.4
1	4	1	44.4
1	4	2	41.8
1	4	3	28.3
1	4	4	34.7
2	1	1	53.3
2	1	2	69.6
2	1	3	45.4
2	1	4	35.1
2	2	1	57.6
2	2	2	69.6
2	2	3	42.4
2	2	4	51.9
2	3	1	59.8
2	3	2	65.8
2	3	3	41.4
2	3	4	45.4
2	4	1	64.1
2	4	2	57.4
2	4	3	44.1
2	4	4	51.6
3	1	1	62.3
3	1	2	58.5
3	1	3	44.6
3	1	4	50.3
3	2	1	63.4
3	2	2	50.4
3	2	3	45
3	2	4	46.7
3	3	1	64.5
3	3	2	46.1
3	3	3	62.6
3	3	4	50.3
3	4	1	63.6
3	4	2	56.1
3	4	3	52.7
3	4	4	51.8
4	1	1	75.4
4	1	2	65.6
4	1	3	54
4	1	4	52.7
4	2	1	70.3
4	2	2	67.3
4	2	3	57.6
4	2	4	58.5
4	3	1	68.8
4	3	2	65.3
4	3	3	45.6
4	3	4	51
4	4	1	71.6
4	4	2	69.4
4	4	3	56.6
4	4	4	47.4
